name,salary_from,salary_to,salary_currency,area_name,published_at
Инженер по видеоконференцсвязи (ВКС),600.0,,USD,Москва,2006-03-16T19:25:51+0300
Системный администратор (UNIX/Oracle),1200.0,1700.0,USD,Москва,2006-04-06T16:49:21+0400
Математик-программист,1111.0,1111.0,USD,Санкт-Петербург,2006-02-20T09:26:50+0300
Разработчик биллинговых систем (С++),1300.0,2000.0,USD,Москва,2006-06-15T13:04:56+0400
Технический специалист по сетям доступа,,2000.0,USD,Москва,2006-05-30T17:16:41+0400
Ведущий менеджер по продажам систем информационной безопасности,,,,Москва,2006-07-25T14:02:14+0400
Менеджер по контрактному обслуживанию,,700.0,USD,Москва,2006-05-10T09:25:42+0400
Менеджер по продажам,1000.0,,USD,Москва,2006-04-17T10:03:53+0400
"Руководитель проекта (вакансия БЛМ-Консорт, код позиции - ST)",,5000.0,USD,Москва,2006-01-16T10:43:18+0300
Программист,,1000.0,USD,Москва,2006-02-16T12:31:17+0300
Инженер-электронщик,,1200.0,USD,Москва,2006-03-13T13:05:55+0300
Ведущего специалиста по информационной безопасности,,1000.0,USD,Москва,2006-03-28T09:13:58+0400
Консультант по системам управления ИТ-инфраструктурой,,,,Москва,2006-05-29T11:09:05+0400
CAD Mixed Flow Specialist,,,,Киев,2006-01-24T11:53:36+0300
Системный администратор,,900.0,USD,Москва,2006-02-06T10:37:41+0300
Программист в компанию по  автоматизации торговых предприятий,,1500.0,USD,Москва,2006-01-23T16:43:47+0300
Технический писатель,,1100.0,USD,Москва,2006-02-10T13:50:58+0300
Системный аналитик,,2000.0,USD,Москва,2006-01-16T11:00:23+0300
Программист 1С,1200.0,1500.0,USD,Москва,2006-02-20T17:48:37+0300
Менеджер по направлению автоматизации в госсекторе,,,,Москва,2006-07-24T11:26:55+0400
Internal Auditor,1000.0,1800.0,USD,Москва,2006-03-14T14:49:29+0300
Embedded Software Designer,,,,Киев,2006-05-30T14:44:44+0400
Application Engineer,,,,Киев,2006-05-30T14:44:44+0400
Аналитик по автоматизированным банковским системам,1300.0,,USD,Москва,2006-03-01T11:43:19+0300
Специалист по системам дистанционного обслуживания,1200.0,,USD,Москва,2006-08-02T11:20:56+0400
Руководитель отдела разработки ПО,1800.0,,USD,Москва,2006-07-03T15:03:28+0400
DV Programmer (Crystal Reports) (IK-R-Prog),,2000.0,USD,Москва,2006-01-23T14:55:26+0300
Программист 1С,1500.0,1500.0,USD,Москва,2006-02-11T13:12:58+0300
"Старший консультант/ Консультант по SAP R/3 (CO) (вакансия БЛМ-Консорт, код позиции - ST)",,6000.0,USD,Москва,2006-01-16T10:43:19+0300
"Менеджер по работе с партнёрами (Армения, Грузия)",,1500.0,USD,Москва,2006-06-26T10:28:11+0400
Менеджер по продажам ERP-систем,,,,Москва,2006-11-03T13:41:29+0300
Разработчик С++,,,,Москва,2006-03-13T11:49:05+0300
Program Manager/Senior Project Manager,,,,Москва,2006-01-10T14:32:14+0300
Старший менеджер по продажам/sales manager,1800.0,,USD,Москва,2006-02-14T12:12:34+0300
Инженер по видеоконференцсвязи,1200.0,2000.0,USD,Москва,2006-04-20T17:10:47+0400
Ведущий инженер (сфера телекоммуникаций),,,,Киев,2006-05-17T17:57:11+0400
Senior Consultant / Assistant Manager with Performance Improvement Department (Vacancy by BLM-Consort),,,,Москва,2006-02-06T17:16:55+0300
Пресейл инженер,,,,Москва,2006-01-23T10:43:00+0300
Product marketing manager,,,,Москва,2006-10-05T17:56:22+0400
Менеджер по работе с крупными клиентами,1000.0,2000.0,USD,Московская область - Юг,2006-04-20T14:01:59+0400
Специалист по внедрению 1С,1200.0,2000.0,USD,Москва,2006-05-10T12:43:13+0400
Преподаватель Учебного Центра,800.0,1200.0,USD,Москва,2006-03-21T15:33:30+0300
"Программист баз данных (MS SQL, Access)",700.0,1000.0,USD,Московская область - Юг,2006-02-02T10:45:14+0300
Заместитель руководителя направления по технической архитектуре,2500.0,,USD,Москва,2006-09-12T14:42:58+0400
Инженер-проектировщик АСУ ТП,600.0,1500.0,USD,Москва,2006-02-14T17:31:32+0300
Менеджер по работе с клиентами,1200.0,,USD,Москва,2006-09-18T16:51:07+0400
Системный администратор,,,,Киев,2006-05-30T09:31:10+0400
Ведущий проектировщик информационных систем,,,,Украина,2006-03-06T19:41:07+0300
Системный аналитик,1800.0,2000.0,USD,Москва,2006-02-26T09:14:36+0300
Ведущий тестировщик,900.0,1100.0,USD,Москва,2006-09-25T09:29:25+0400
Web-программист,1000.0,1500.0,USD,Москва,2006-05-30T09:41:56+0400
Технический эксперт (опыт работы с биллингом и знания Cisco на CCNA),1600.0,1800.0,USD,Москва,2006-06-13T18:07:10+0400
Сотрудник отдела профилактики оборудования:,750.0,850.0,USD,Москва,2006-01-10T17:53:53+0300
Руководитель отдела закупок со знанием анг. яз  в  техническую компанию:,1000.0,1700.0,USD,Москва,2006-02-10T13:50:58+0300
Арт-Директор (BTL),1000.0,2500.0,USD,Москва,2006-09-26T11:59:04+0400
Менеджер проекта,100.0,1500.0,USD,Нижний Новгород,2006-04-20T11:50:14+0400
Программист PL/SQL,,,,Киев,2006-04-25T12:18:32+0400
Бизнес аналитик,,,,Киев,2006-04-25T12:18:32+0400
Тестировщик,,,,Киев,2006-04-25T12:18:32+0400
Системный администратор,,,,Киев,2006-04-25T12:18:32+0400
Менеджер по продаже программного обеспечения,,,,Киев,2006-04-25T12:18:32+0400
"Главный бухгалтер производственного предприятия в составе Корпорации «ОМЗ» (С.-Петербург, Колпино)",1000.0,1700.0,USD,Санкт-Петербург,2006-05-29T12:57:39+0400
Программист (код: VBCD-F1),1000.0,1200.0,USD,Москва,2006-02-22T13:44:14+0300
Программист,,,,Киев,2006-04-19T16:32:11+0400
Специалист отдела поддержки филиальной сети,800.0,1500.0,USD,Москва,2006-02-11T10:13:37+0300
Менеджер по работе с дилерами,,1500.0,USD,Москва,2006-02-13T16:00:51+0300
Специалист по информационной безопасности,,2000.0,USD,Москва,2006-03-06T11:58:53+0300
Специалист по программным решениям,,1500.0,USD,Москва,2006-01-16T11:00:23+0300
Сервис-инженер,,,,Киев,2006-02-20T18:34:11+0300
Специалист по автоматизированному учету  (Программист 1С ),,1500.0,USD,Москва,2006-01-27T10:13:43+0300
"Программист ASP, ASP.NET",,,,Москва,2006-02-13T14:49:35+0300
Руководитель проектного отдела,1500.0,2500.0,USD,Москва,2006-02-17T18:38:27+0300
Инженер-программист C++,,,,Москва,2006-05-02T09:17:52+0400
Системный администратор,700.0,1000.0,USD,Москва,2006-01-10T14:30:30+0300
Инженер в службу технической поддержки,,,,Москва,2006-01-13T11:22:42+0300
Программист,900.0,1000.0,USD,Москва,2006-02-08T09:45:26+0300
Архитектор решений IP-TV,1600.0,,USD,Москва,2006-07-18T15:01:19+0400
Разработчик трейдинговых систем и приложений,1500.0,,USD,Москва,2006-01-30T21:29:00+0300
Программист JAVA,1200.0,2000.0,USD,Москва,2006-05-06T14:13:31+0400
Ведущий разработчик .NET (конструктор),,,,Москва,2006-03-06T10:24:09+0300
Marketing product manager/Wireless (Беспроводные сети),,,,Россия,2006-03-03T17:01:50+0300
Marketing product manager/A&S (Дополнительные услуги связи),,,,Россия,2006-03-03T17:01:50+0300
Менеджер проектов/Разработка ПО,,,,Россия,2006-03-03T17:01:51+0300
Менеджер по продажам,700.0,1500.0,USD,Москва,2006-04-21T15:24:34+0400
Специалист по настройке компьютеров,1000.0,1500.0,USD,Москва,2006-04-05T10:39:30+0400
Инженер поддержки рабочих мест,500.0,700.0,USD,Москва,2006-09-11T12:59:41+0400
Инженер центральной службы технической поддержки,1300.0,,USD,Москва,2006-09-11T12:59:43+0400
"Программист  (С/С++, TCP/IP )",700.0,900.0,USD,Санкт-Петербург,2006-10-19T14:26:15+0400
Программист Axapta,1500.0,2000.0,USD,Москва,2006-03-01T10:09:04+0300
Программист Delphi,,1200.0,USD,Москва,2006-05-29T17:57:25+0400
Программист Navision,1600.0,2500.0,USD,Москва,2006-01-20T17:47:39+0300
Менеджер по продажам цифровой фототехники,1300.0,2000.0,USD,Москва,2006-01-30T16:35:12+0300
Руководитель IT-отдела (с опытом программирования в Navision),1700.0,2500.0,USD,Москва,2006-03-07T10:23:33+0300
Service nodes support engineer,,,,Киев,2006-03-31T18:51:33+0400
Service Nodes Solutions Support Engineer,,,,Киев,2006-03-31T18:51:33+0400
Transmission support engineer,,,,Киев,2006-03-31T18:51:35+0400
"Radio Network Design Engineer, Kiev",,,,Киев,2006-03-31T18:51:33+0400
Оператор ПК,,,,Москва,2006-03-12T15:47:54+0300
Заместитель директора  по маркетингу,,,,Москва,2006-01-10T10:38:18+0300
ВЕДУЩИЙ СПЕЦИАЛИСТ по разработке информационных систем в среде DB2,,1500.0,USD,Москва,2006-02-20T17:30:29+0300
Разработчик Oracle на проект внедрения Oracle e-Business Suite,,,,Москва,2006-09-01T16:25:05+0400
ИНЖЕНЕР в отдел технической эксплуатации,,,,Москва,2006-03-27T10:20:11+0400
Старший Разработчик С++ (Зеленоград),1800.0,,USD,Московская область - Север,2006-02-10T12:54:30+0300
Старший Разработчик на С# (Зеленоград),1800.0,,USD,Московская область - Север,2006-07-21T13:42:28+0400
ИНЖЕНЕР ПО РЕМОНТУ ИСТОЧНИКОВ БЕСПЕРЕБОЙНОГО ПИТАНИЯ (UPS),800.0,1200.0,USD,Москва,2006-01-11T16:46:55+0300
Дизайнер Упаковки,800.0,800.0,USD,Москва,2006-03-23T13:19:47+0300
Дизайнер упаковки,600.0,700.0,USD,Украина,2006-03-17T11:04:06+0300
ВЕДУЩИЙ СПЕЦИАЛИСТ по разработке информационных систем (программист),,1200.0,USD,Москва,2006-02-20T17:30:29+0300
Инженер по системам хранения информации,1200.0,,USD,Москва,2006-07-17T14:11:02+0400
Консультант-разработчик Oracle E-Business Suite,,,,Москва,2006-08-28T11:28:57+0400
Ведущий инженер АСУТП электроэнергетика (системы АСКУЭ),,,,Москва,2006-04-13T15:21:38+0400
Инженер-проектировщик АСУТП электроэнергетика (системы АСКУЭ),,,,Москва,2006-04-13T15:21:38+0400
Менеджер по закупкам,600.0,,USD,Москва,2006-05-29T11:09:05+0400
Ведущий инженер (системы технической безопасности),,,,Москва,2006-03-13T14:50:23+0300
"Бизнес-аналитик (на платформе  1С 8.0, 1С Инталев)",,,,Москва,2006-03-14T23:27:56+0300
"Программист СУБД, сопровождение «Галактики»",,,,Москва,2006-06-14T16:53:42+0400
Системный администратор,800.0,1000.0,USD,Москва,2006-03-18T15:45:42+0300
Product manager / менеджер направления по серверному оборудованию IBM,1500.0,,USD,Москва,2006-01-30T12:24:53+0300
PR manager (IT projects),,,,Москва,2006-02-16T13:15:18+0300
Системный администратор,350.0,500.0,USD,Киев,2006-01-28T14:16:10+0300
Системный администратор,,800.0,USD,Москва,2006-02-01T17:37:44+0300
Консультант по внедрению информационных систем (ЕАМ),2000.0,2200.0,USD,Москва,2006-02-06T14:48:20+0300
Инженер технической поддержки,700.0,,USD,Москва,2006-02-20T17:30:32+0300
Администратор Oracle,1300.0,2000.0,USD,Москва,2006-01-21T21:35:57+0300
"Manager, IS-U Customer Service",,,,Киев,2006-04-13T20:24:24+0400
"Manager, IS-U MDM & WKM",,,,Киев,2006-06-05T10:49:38+0400
Инженер-программист 1С,,1300.0,USD,Москва,2006-01-17T17:36:41+0300
Программист/Windows (код: WinD-LS),1200.0,1700.0,USD,Москва,2006-03-31T11:38:15+0400
Технический писатель в компанию,400.0,800.0,USD,Москва,2006-01-10T10:09:23+0300
Специалист по ИТ (со знанием 1С),,,,Днепр (Днепропетровск),2006-05-31T14:50:23+0400
Системный программист в крупный Интернет-проект,1300.0,,USD,Москва,2006-01-30T12:24:56+0300
"Project Specialist, SAP PLM",,,,Киев,2006-06-05T10:49:39+0400
"Specialist, CCS Loss Prevention",,,,Киев,2006-05-10T10:23:31+0400
Web-программист (RT-developer),1400.0,1700.0,USD,Москва,2006-01-17T12:44:07+0300
Бизнес-аналитик в области телекоммуникаций,2200.0,,USD,Москва,2006-02-01T10:31:18+0300
Developer (OFA),,,,Киев,2006-01-11T16:13:20+0300
"Project Specialist, Solution Architect/Integration Specialist",,,,Киев,2006-06-05T10:49:39+0400
Руководитель проектов (Soft),,,,Москва,2006-03-14T11:25:02+0300
Специалист АСКУЭ,,,,Москва,2006-03-14T11:25:03+0300
Эксперт (RISC-серверы),,,,Москва,2006-01-17T12:51:21+0300
Руководитель проектов (вычислительные и инженерные сети),,,,Москва,2006-03-14T11:25:03+0300
Главный инженер проектов (ГИП),,,,Москва,2006-01-17T12:51:21+0300
"Specialist, SAP IS-U - CCS, Billing",,,,Киев,2006-05-10T10:23:31+0400
"Project Specialist, Application Architect",,,,Киев,2006-08-18T19:11:04+0400
SAP Development Lead,,,,Киев,2006-08-18T19:11:04+0400
"Specialist, SAP IS-U/CCS, FI-CA",,,,Киев,2006-04-13T20:24:25+0400
Руководитель специальных проектов в крупную IT-компанию,1500.0,,USD,Санкт-Петербург,2006-01-24T12:32:32+0300
Программист-разработчик на Power Builder,1200.0,1800.0,USD,Москва,2006-01-11T09:43:38+0300
Менеджер технической поддержки в Хостинг Центр РБК,,,,Москва,2006-11-17T15:12:36+0300
Специалист по технической поддержке Oracle e-Business Suite (финансы),,,,Москва,2006-03-29T19:40:59+0400
Менеджер по маркетингу в компанию – системный интегратор,700.0,1000.0,USD,Москва,2006-03-27T13:58:48+0400
Руководитель отдела маркетинга в IT-компанию.,,,,Москва,2006-01-30T12:24:55+0300
Java-программист в Хостинг Центр,,,,Москва,2006-05-16T16:16:51+0400
Специалист по технической поддержке Oracle e-Business Suite (логистика),,,,Москва,2006-03-29T19:40:59+0400
Программист Perl в Хостинг Центр РБК,,,,Москва,2006-05-16T16:19:09+0400
Программист Fox pro + МS SQL,,,,Москва,2006-09-25T10:56:34+0400
Программист на MSSQL (сертифицированный),,,,Москва,2006-04-26T18:08:58+0400
Программист Java,1500.0,2000.0,USD,Москва,2006-02-13T17:30:28+0300
Технолог (специалист по сопровождению банковского ПО),800.0,1200.0,USD,Москва,2006-02-26T13:32:26+0300
Инженер-программист,1300.0,1500.0,USD,Москва,2006-05-24T10:57:30+0400
Системный администратор,,,,Москва,2006-01-13T14:59:55+0300
Ведущий программист,1200.0,1800.0,USD,Москва,2006-01-11T09:44:04+0300
Специалист  отдела сетевых проектов,750.0,1000.0,USD,Москва,2006-01-11T09:44:04+0300
Системный аналитик,800.0,1300.0,USD,Москва,2006-01-11T09:44:04+0300
Ведущий Консультант Oracle E-Business Suite (финансы),3000.0,3500.0,USD,Москва,2006-03-24T14:36:41+0300
Консультант-стажер (C_CRM),500.0,600.0,USD,Москва,2006-01-19T13:55:04+0300
Старший консультант по внедрению систем хранения информации Microsoft,2000.0,2200.0,USD,Москва,2006-02-15T13:14:03+0300
"Regulatory Research Scientist (WiFi, WiMax)",,,,Санкт-Петербург,2006-04-19T11:38:29+0400
Менеджер по продажам,500.0,1500.0,USD,Санкт-Петербург,2006-12-04T20:52:14+0300
Инженер по радиосвязи,,,,Москва,2006-01-10T11:21:18+0300
Специалист по технической поддержке Oracle E-Business Suite HRMS (управление персоналом),,,,Москва,2006-03-29T19:40:59+0400
"Инструктор  OEBS-логистика (Purchasing, Inventory, OM)",,,,Москва,2006-03-29T19:40:57+0400
"Архитектор-программист решений на платформе 1С:Предприятие 8.0, 1С: Инталев.",2000.0,2200.0,USD,Москва,2006-01-25T11:52:59+0300
Менеджер по рекламе,,,,Москва,2006-03-17T16:33:25+0300
Cистемный администратор,1200.0,,USD,Москва,2006-01-23T11:01:33+0300
Инженер (IK-R-En),1500.0,1800.0,USD,Москва,2006-02-10T15:53:03+0300
Контент менеджер WEB портала,,500.0,USD,Москва,2006-01-22T04:55:52+0300
"Руководитель группы внедрения Axapta (логистика, склад, бухгалтерия)",2500.0,4000.0,USD,Москва,2006-02-06T10:27:47+0300
Дизайнер,1400.0,,USD,Москва,2006-04-04T18:58:07+0400
Unix инженер,900.0,1000.0,USD,Санкт-Петербург,2006-02-06T09:47:14+0300
Инженер-проектировщик СКС,500.0,600.0,USD,Санкт-Петербург,2006-02-06T09:47:14+0300
Инженер по системам резервного копирования,800.0,900.0,USD,Санкт-Петербург,2006-02-06T09:47:14+0300
Ведущий инженер по продуктам OpenView или Tivoli,1300.0,1500.0,USD,Санкт-Петербург,2006-02-06T09:47:14+0300
"Ведущий программист (PL/SQL, ORACLE)",,2000.0,USD,Москва,2006-02-13T17:30:28+0300
Менеджер по продаже сервисных услуг,,,,Москва,2006-01-16T09:54:27+0300
Ведущий тестировщик,1200.0,,USD,Москва,2006-03-20T19:16:50+0300
Бизнес Аналитик по SD; SAP/R3,,,,Москва,2006-01-12T17:14:00+0300
Ведущий специалист по внутреннему контролю,1000.0,1800.0,USD,Москва,2006-01-25T12:51:49+0300
Специалист в отдел  по продаже услуг операторам  фиксированной связи и партнерам,,,,Москва,2006-06-28T08:57:59+0400
Программист 1С 8.0,2000.0,,USD,Москва,2006-01-23T14:29:25+0300
Системный администратор,500.0,,USD,Москва,2006-04-03T09:48:12+0400
Коммерческий директор,,,,Москва,2006-02-09T10:10:18+0300
Продукт менеджер по софтверным решениям,,3000.0,USD,Москва,2006-10-16T11:27:16+0400
Ведущий специалист/специалист отдела поддержки розничной сети,500.0,1000.0,USD,Москва,2006-02-11T10:13:37+0300
Support Engineer,,,,Москва,2006-04-05T08:23:23+0400
Инструктор Oracle E-Business Suite HRMS (управление персоналом),,,,Москва,2006-03-29T19:40:57+0400
Project Manager (IT projects) for a Major Western FMCG Company (Vacancy by BLM-Consort),2500.0,5000.0,USD,Москва,2006-02-06T17:16:55+0300
Ведущий разработчик на платформе .NET,,,,Москва,2006-08-10T16:19:41+0400
Разработчик инсталляционных пакетов,,,,Москва,2006-04-11T09:58:42+0400
Программист  Visual Basic 6,,,,Москва,2006-08-10T16:19:41+0400
Менеджер по продажам ИТ-решений,1200.0,1500.0,USD,Москва,2006-01-12T12:44:11+0300
Руководитель технического отдела,1000.0,,USD,Москва,2006-02-06T11:13:41+0300
Ведущий программист  Borland C++  Builder,1200.0,1700.0,USD,Москва,2006-01-12T12:46:57+0300
"IT-аналитик  Navision, Менеджер проекта",1800.0,2800.0,USD,Москва,2006-02-22T08:50:31+0300
Инженер-программист,,,,Москва,2006-01-30T14:42:43+0300
Менеджер по продажам MBS Navision,,,,Москва,2006-02-27T15:17:06+0300
Технический писатель (корректор),800.0,,USD,Москва,2006-03-21T09:56:41+0300
Сервисный инженер в отдел по работе со штрих-кодом,800.0,1000.0,USD,Москва,2006-03-06T12:50:04+0300
Бизнес Аналитик,2000.0,2600.0,USD,Москва,2006-04-08T18:02:03+0400
Инженер-программист,800.0,1300.0,USD,Москва,2006-01-16T13:41:26+0300
Руководитель программ,,,,Москва,2006-04-03T12:11:33+0400
Системный администратор,600.0,800.0,USD,Москва,2006-07-11T11:49:27+0400
Менеджер проекта в области финансовых телекоммуникаций,,,,Москва,2006-01-30T09:37:03+0300
Администратор электронной почты,,,,Москва,2006-01-30T09:37:03+0300
Руководитель направления (IVR).,1700.0,2000.0,USD,Москва,2006-01-16T16:52:13+0300
Программист 1С,,,,Москва,2006-03-03T17:18:56+0300
Инженер по телекоммуникацинным серверам,,,,Москва,2006-04-10T08:34:01+0400
Проектировщик слаботочка,1000.0,2500.0,USD,Москва,2006-02-17T18:38:27+0300
Старший разработчик ПО под Linux/FreeBSD/OpenBSD,1600.0,2000.0,USD,Москва,2006-06-26T10:28:11+0400
Бизнес-аналитик,,3500.0,USD,Москва,2006-04-24T12:56:38+0400
Специалист по автоматическому тестированию,,,,Москва,2006-08-21T10:28:11+0400
.NET developer,,,,Москва,2006-01-23T12:35:27+0300
Бизнес -аналитик,900.0,1200.0,USD,Москва,2006-01-16T10:49:20+0300
Инженер Дата-Центра,,,,Москва,2006-04-05T12:20:55+0400
Администратор базы данных 1С,1000.0,1500.0,USD,Москва,2006-01-10T13:38:33+0300
Продукт менеджер по Sony,,,,Москва,2006-01-10T11:21:18+0300
Консультант по внедрению финансового контура ERP-систем и автоматизированных систем бюджетирования,1000.0,2500.0,USD,Киев,2006-01-11T16:13:22+0300
Менеджер по продвижению сайтов,500.0,,USD,Москва,2006-04-03T18:33:54+0400
Опытный программист Visual Basic 6,700.0,,USD,Москва,2006-04-03T18:33:54+0400
Ведущий специалист отдела ценообразования,,1200.0,USD,Москва,2006-05-11T09:28:57+0400
Менеджер по работе с ключевыми клиентами,1500.0,3000.0,USD,Россия,2006-01-17T12:31:37+0300
"Аналитик, специалист службы поддержки (код: TS-Re)",500.0,700.0,USD,Москва,2006-01-27T10:27:15+0300
Редактор (менеджер) нового Интернет-проекта «Недвижимость»,600.0,800.0,USD,Москва,2006-01-30T12:24:55+0300
Unix tester,600.0,1000.0,USD,Москва,2006-03-16T11:24:41+0300
Программист БД,,1500.0,USD,Москва,2006-01-10T09:50:43+0300
Программист,,1500.0,USD,Москва,2006-01-10T09:50:43+0300
Программист,900.0,1200.0,USD,Москва,2006-02-06T17:09:45+0300
Программист - Разработчик Oracle,1500.0,2000.0,USD,Москва,2006-01-11T16:46:55+0300
Специалист по маркетинговым описаниям,800.0,,USD,Москва,2006-04-18T09:29:50+0400
Инженер (IK-R-En),1500.0,1700.0,USD,Москва,2006-01-16T11:28:49+0300
Сервисный инженер (POS системы),700.0,700.0,USD,Москва,2006-01-10T12:36:14+0300
Key Account Manager (Banking Sector)  (IK-C-KAM_Bank),3000.0,6000.0,USD,Москва,2006-01-16T11:28:49+0300
Regional Sales Manager (Banking Sector)  (IK-C-RSM_Bank),4000.0,8000.0,USD,Москва,2006-01-16T11:28:49+0300
Аналитик-статистик,800.0,1000.0,USD,Москва,2006-01-15T11:13:04+0300
Менеджер по продажам ПО,,,,Москва,2006-06-20T10:59:21+0400
Начальник Отдела мониторинга IT (Service Desk) (IK-M-НОМ),2000.0,3000.0,USD,Москва,2006-01-16T11:29:42+0300
Консультант\ Старший консультант по Hyperion,1500.0,2500.0,USD,Москва,2006-02-07T10:33:23+0300
Тестировщик оборудования,400.0,500.0,USD,Москва,2006-08-01T10:25:10+0400
Программист 1 С,2000.0,2000.0,USD,Москва,2006-05-26T17:06:21+0400
Оператор ПК,400.0,500.0,USD,Москва,2006-01-16T13:36:02+0300
Ведущий специалист отдела технической поддержки,850.0,,USD,Москва,2006-08-14T11:27:06+0400
Менеджер по системе дистанционного обучения.,,,,Москва,2006-06-29T11:44:51+0400
Руководитель группы инструментальных средств системы дистанционного обучения,1300.0,,USD,Москва,2006-01-20T19:17:29+0300
Руководитель департамента  консалтинга (ERP) (IK-ES-РОК),5000.0,,USD,Москва,2006-01-16T11:28:50+0300
Системный администратор (специалист IT),,,,Москва,2006-07-10T17:58:06+0400
Помощник системного администратора,500.0,600.0,USD,Москва,2006-05-10T09:33:35+0400
Web-программист (web-мастер),,,,Москва,2006-07-17T09:31:51+0400
Flash-программист,,,,Москва,2006-04-13T11:18:48+0400
Администратор 1C,,1200.0,USD,Москва,2006-04-13T11:29:16+0400
Администратор базы данных Oracle,1500.0,2000.0,USD,Москва,2006-04-19T12:55:49+0400
IT Специалист (call center) в западную компанию,700.0,900.0,USD,Москва,2006-04-13T11:43:27+0400
"Key Account Manager в крупную международную компанию, производитель телекоммуникационного обоурудования",8000.0,8000.0,USD,Москва,2006-06-09T11:38:08+0400
Администратор Oracle,,,,Москва,2006-06-15T14:54:45+0400
Руководитель проекта внедрения SAP R/3 в консалтинг,2000.0,4000.0,USD,Москва,2006-05-26T10:23:01+0400
Руководитель коммерческой службы,1500.0,1500.0,USD,Московская область - Восток,2006-04-13T12:07:33+0400
Java программист / Java Developer,,,,Москва,2006-05-06T09:29:07+0400
Системный администратор,,,,Москва,2006-05-16T13:39:11+0400
Редактор сайта,700.0,1200.0,USD,Москва,2006-04-13T12:28:44+0400
Software Developer,,,,Санкт-Петербург,2006-04-13T12:36:16+0400
Менеджер качества ИТ,,,,Москва,2006-04-13T12:39:07+0400
Старший специалист по поддержке ППО,,,,Москва,2006-05-30T17:50:59+0400
Контент-менеджер,800.0,1000.0,USD,Москва,2006-04-13T12:48:56+0400
Руководитель отдела телекоммуникации,2500.0,4000.0,USD,Москва,2006-05-11T15:09:28+0400
Database Programmer,800.0,2000.0,USD,Киев,2006-04-13T12:56:24+0400
Руководитель группы/Архитектор/Ведущий Java программист (код: SJD-FC),2200.0,2500.0,USD,Москва,2006-04-13T12:56:47+0400
Программист,800.0,1000.0,USD,Москва,2006-04-13T13:08:49+0400
